,역이름,위도,경도,게스트_선호,게스트_불호
215,Porte de Montreuil,48.8536,2.41095,18,12
216,Esplanade de la Défense,48.8880944,2.2499818,0,0
217,Malesherbes,48.8798303,2.3138121,19,27
218,Wagram,48.8806652,2.3000451,36,49
219,Sèvres – Babylone,48.85149699999999,2.3266063,30,31
220,La Tour-Maubourg,48.8580658,2.3100006,48,40
221,Javel – André Citroën,48.8460538,2.2777049,23,30
222,Porte de Charenton,48.8330809,2.401726,10,16
223,Stalingrad,48.8833537,2.3692711,33,45
224,Michel Bizot,48.8371989,2.4023741,25,16
225,Voltaire,48.8587917,2.331602,34,22
226,Châtillon – Montrouge,48.8157655,2.3160079,0,0
227,Sentier,48.86919959999999,2.3458421,132,221
228,Cité,48.8548825,2.3474928,69,88
229,Bobigny – Pantin – Raymond Queneau,48.8953859,2.425283,0,0
230,Gaîté,48.8383865,2.3224865,34,53
231,Temple,48.8634991,2.3590784,193,222
232,Mairie de Montrouge,48.818768,2.3204536,0,0
233,Buzenval,48.85175700000001,2.401347,37,31
