,역이름,위도,경도,게스트_선호,게스트_불호
229,Northolt,51.54775741,-0.367069735,2,0
230,Hounslow West,51.47310845,-0.384218262,0,3
231,South Harrow,51.56404932,-0.350509518,0,1
232,Harrow & Wealdstone,51.59154651,-0.333300136,2,1
233,High Barnet,51.65002914,-0.192561468,1,1
234,Eastcote,51.57601384,-0.39578946,1,0
235,West Harrow,51.57906815,-0.351706569,2,1
236,Rayners Lane,51.57469667,-0.369864752,1,0
237,North Harrow,51.58444941,-0.361021834,3,0
238,Pinner,51.59232907,-0.379580851,1,0
239,Harrow-on-the-Hill,51.57891586,-0.33516664,2,7
240,Stanmore,51.61921632,-0.30167142,0,0
241,Canons Park,51.60721294,-0.293102561,0,0
242,Dagenham East,51.54364955,0.167617456,0,0
243,Loughton,51.6408144,0.056970973,0,0
244,Debden,51.64489405,0.085403181,0,0
245,Theydon Bois,51.67133739,0.104967288,0,0
246,Epping,51.69306818,0.115641374,0,0
247,Elm Park,51.54920911,0.200311564,1,0
248,Hornchurch,51.55353835,0.220754707,0,0
249,Heathrow Terminals 1-2-3,51.47079421,-0.450857772,0,0
250,Upminster Bridge,51.55798569,0.237476635,0,0
251,West Ruislip,51.56913097,-0.436073394,3,0
252,Upminster,51.55857711,0.252767235,0,0
253,Hatton Cross,51.4661174,-0.42189306,0,0
254,Northwood,51.61052039,-0.422358538,0,0
255,Heathrow Terminal 5,51.47201647,-0.486475608,0,0
256,Heathrow Terminal 4,51.45802947,-0.444145672,0,0
257,Uxbridge,51.54596187,-0.4760666,0,0
258,Hillingdon,51.55344939,-0.447812239,0,1
259,Ickenham,51.56146986,-0.440467266,0,0
260,Ruislip,51.57079343,-0.420215108,1,0
261,Ruislip Manor,51.57297789,-0.410235646,0,1
262,Northwood Hills,51.59969703,-0.407168137,1,1
263,Chorleywood,51.65380677,-0.516985176,0,0
264,Rickmansworth,51.63979883,-0.472133393,0,0
265,Moor Park,51.6293749,-0.430710233,0,0
266,Croxley,51.64658792,-0.44019171,0,0
267,Watford,51.65699167,-0.415832512,0,0
268,Chalfont & Latimer,51.66754646,-0.559159868,0,0
269,Chesham,51.70474175,-0.609421076,0,0
270,Amersham,51.67366188,-0.606146762,0,0
